,y_test,ann_class_0,cnn1d_class_0,cnn2d_class_0,ann_class_1,cnn1d_class_1,cnn2d_class_1,ann_class_2,cnn1d_class_2,cnn2d_class_2,ann_class_3,cnn1d_class_3,cnn2d_class_3,ann_class_4,cnn1d_class_4,cnn2d_class_4,ann_class_5,cnn1d_class_5,cnn2d_class_5,ann_class_6,cnn1d_class_6,cnn2d_class_6,ann_class_7,cnn1d_class_7,cnn2d_class_7,ann_class_8,cnn1d_class_8,cnn2d_class_8,ann_class_9,cnn1d_class_9,cnn2d_class_9
0,3,0.0026478418,1.524487e-05,0.00031496055,0.005333079,0.00023662536,0.0028648593,0.011631309,0.0002213286,0.0011198208,0.8569531,0.9937644,0.95702034,0.0007356853,4.015743e-06,6.925577e-05,0.004697334,2.3259598e-05,0.00021022453,0.00148353,2.482116e-05,0.00011249569,0.01276485,0.00035340159,0.0020583614,0.01311078,5.896017e-05,0.004714329,0.09064239,0.0052979738,0.031515285
1,8,0.029433707,0.03170754,3.3605324e-05,0.14743276,0.11257325,0.0026460253,0.027483564,0.04328626,1.4929333e-05,0.016603284,0.028442413,0.00032813038,0.005801745,0.009683629,0.0002637198,0.018885354,0.03366145,0.00025635984,0.004445121,0.0178025,3.487273e-05,0.05550256,0.08872043,0.0006500775,0.5204958,0.51611984,0.98980415,0.1739162,0.118002675,0.0059681525
2,9,0.013978497,0.0031705608,6.298312e-05,0.08107161,0.015649432,0.0017366001,0.019642498,0.004642377,0.0004374919,0.1382978,0.025243117,0.0029433295,0.00586248,0.0007044619,1.8445517e-05,0.040267035,0.005483093,0.0030040932,0.018042069,0.0015108873,2.7472259e-05,0.24671084,0.06520211,0.007472476,0.0463546,0.015120577,0.0020431438,0.38977265,0.8632734,0.98225397
3,2,0.017250044,0.021015896,0.0028798839,0.017976148,0.01134079,0.001106872,0.37581137,0.6194691,0.9444659,0.10122805,0.07497042,0.008705226,0.0051352726,0.0076818625,0.00045913388,0.018218368,0.004383591,0.00042623808,0.0051861443,0.01675958,0.003944331,0.06770225,0.015912727,0.004636612,0.34971896,0.2068371,0.030183919,0.041773446,0.021628875,0.0031917412
4,9,0.016414708,0.024622697,0.018996032,0.10418902,0.025183687,0.023332015,0.016715083,0.02129353,0.085609026,0.02535167,0.0313345,0.021797257,0.0029551347,0.0041979654,0.003198043,0.033321075,0.016926201,0.011221965,0.010780536,0.0075862673,0.0042664837,0.45651364,0.08802785,0.5799259,0.061779354,0.18814534,0.080389634,0.27197984,0.592682,0.17126365
5,9,0.010089228,0.0005218679,0.0005302936,0.13864712,0.010033977,0.0074026347,0.017214486,0.0010385488,0.0094392,0.0055137845,0.0053794994,0.0018113768,0.0028891915,7.533873e-05,0.0001054471,0.018832615,0.0008569915,0.01283083,0.014548582,0.00025285195,0.0006345237,0.7079458,0.021285946,0.12920937,0.028538909,0.0073208683,0.0076829125,0.05578026,0.95323414,0.83035344
6,7,0.010346224,0.0005169092,0.00043900436,0.06411673,0.004831294,0.0022044403,0.020043708,4.2708172e-05,0.0009679831,0.0011771809,0.0001024811,0.0001921984,0.0025269564,7.306995e-06,0.0001562766,0.012117899,0.00028292483,0.0011083554,0.005599549,0.00021460533,5.053186e-05,0.8223563,0.9906416,0.9868029,0.0395271,0.00098924,0.0053982474,0.022188405,0.002371008,0.0026801233
7,9,0.028271522,0.0016050581,0.0028480534,0.094505966,0.013230471,0.003754286,0.010386545,0.0015257294,0.0006550148,0.072333,0.006905395,0.0034896429,0.0024328718,0.00021006407,0.00011851271,0.0220986,0.0025697318,0.00091405143,0.005456845,0.0005743613,6.0946844e-05,0.2540501,0.06817461,0.066948675,0.055241834,0.016383365,0.00092943787,0.45522264,0.88882124,0.9202814
8,8,0.037857745,0.011438952,0.008198489,0.046751812,0.005761525,0.0073719025,0.040461503,0.007834698,0.010045848,0.046722006,0.0077710124,0.012696579,0.0047137015,0.002430237,0.0058523356,0.021895027,0.0052648685,0.0027841707,0.0027874329,0.0042828987,0.0021576302,0.052155565,0.026200606,0.058761016,0.48365808,0.8856757,0.8806175,0.26299715,0.04333939,0.011514601
9,1,0.005919232,0.00018184833,4.164638e-05,0.7601489,0.99442846,0.9902989,0.011449557,0.00047361577,0.00013002704,0.0010929334,0.0001657805,5.4941152e-05,0.010060655,5.0238454e-05,0.00025447985,0.009059608,0.00014727213,0.00017906053,0.027703049,0.00014626325,0.003924812,0.12464924,0.0024354614,0.004532265,0.03824615,0.00038016538,0.00022816233,0.011670731,0.0015908554,0.0003556464
10,3,0.021754974,0.063305914,0.01441754,0.046434335,0.2750169,0.05184671,0.083968386,0.05720457,0.068987444,0.32578817,0.07392493,0.44085875,0.0052184146,0.024394622,0.006950381,0.031372525,0.054030534,0.011991649,0.010892269,0.037660304,0.0084810965,0.18218634,0.18020676,0.119010374,0.087365344,0.10491922,0.2091422,0.20501933,0.12933624,0.06831401
11,1,0.0744015,0.0009647739,0.0007063886,0.3953186,0.90288043,0.9086517,0.028396811,0.0010306482,0.0007025665,0.014909701,0.0001490338,0.001563139,0.029429361,8.369308e-05,0.00119246,0.028850596,0.00067489024,0.0049657035,0.024150928,0.00040358922,0.0039904127,0.236002,0.085672155,0.03451309,0.08462007,0.002676811,0.004291041,0.083920375,0.005463849,0.03942353
12,7,0.034561224,0.017221058,0.003771127,0.25482634,0.10469413,0.10076189,0.05560917,0.015778407,0.011217324,0.024515504,0.010884931,0.0042931945,0.007001593,0.0046425587,0.002543384,0.02806153,0.020249011,0.029818077,0.014577716,0.005346427,0.0017954429,0.313999,0.3005502,0.4828212,0.1534833,0.2385497,0.072358094,0.11336465,0.28208354,0.29062027
13,8,0.008260813,0.008182518,0.00021809875,0.012906752,0.005854107,0.0005062275,0.15951894,0.027023237,0.018715061,0.019334849,0.016720098,0.0041439217,0.001430032,0.0014952578,0.00028814992,0.0074481405,0.004038671,0.00013858204,0.0011368768,0.0034727878,0.00031356988,0.02459404,0.011947139,0.0020185837,0.733611,0.82201475,0.9725354,0.031758662,0.09925135,0.0011223956
14,1,0.0051238877,0.015729805,0.0029124857,0.3313411,0.83791727,0.9221834,0.0035844212,0.009669686,0.000842601,0.0009921977,0.004269683,0.00075772754,0.004426824,0.009859848,0.0056941863,0.015095631,0.011525935,0.0025678196,0.026211267,0.010677572,0.03390645,0.5625492,0.06599208,0.027788186,0.014744543,0.009102473,0.00068300846,0.035930973,0.025255593,0.0026641325
15,7,0.0023347395,0.00035704827,5.8207854e-05,0.033977486,0.0029879436,0.0008056114,0.008427131,4.2402895e-05,0.00014798436,0.0010172841,8.1577346e-05,2.6577138e-05,0.0008216116,1.3467408e-05,2.8068402e-05,0.009933536,0.00041204356,0.00042364627,0.0057686022,0.00033494848,2.3994582e-05,0.9031245,0.99315953,0.9976751,0.012151489,0.0005079807,4.8121998e-05,0.022443675,0.002102979,0.00076260476
